Practitioner ID,Virtual Flag (0 = In -person; 1 = Virtual),Service Date,Number of Distinct Patient Visits,
4585,0,03Apr2019 0:00:00,3,
4585,0,10Apr2019 0:00:00,4,
4585,0,17Apr2019 0:00:00,5,
4585,0,24Apr2019 0:00:00,4,
4585,0,08May2019 0:00:00,3,
4585,0,15May2019 0:00:00,1,
4585,0,05Jun2019 0:00:00,1,
4585,0,12Jun2019 0:00:00,2,
4585,0,19Jun2019 0:00:00,1,
4585,0,26Jun2019 0:00:00,2,
4585,0,10Jul2019 0:00:00,5,
4585,0,17Jul2019 0:00:00,4,
4585,0,31Jul2019 0:00:00,5,
4585,0,02Aug2019 0:00:00,5,
4585,0,07Aug2019 0:00:00,3,
4585,0,09Aug2019 0:00:00,4,
4585,0,21Aug2019 0:00:00,4,
4585,0,27Aug2019 0:00:00,4,
4585,0,28Aug2019 0:00:00,5,
4585,0,11Sep2019 0:00:00,3,
4585,0,25Sep2019 0:00:00,5,
4585,0,02Oct2019 0:00:00,4,
4585,0,09Oct2019 0:00:00,2,
4585,0,08Nov2019 0:00:00,2,
4585,0,27Nov2019 0:00:00,5,
4585,0,04Dec2019 0:00:00,4,
4585,0,11Dec2019 0:00:00,3,
4585,0,18Dec2019 0:00:00,4,
4585,0,22Jan2020 0:00:00,2,
4585,0,03Mar2020 0:00:00,4,
4585,0,11Mar2020 0:00:00,3,
6617,0,06Apr2019 0:00:00,47,
6617,0,10Apr2019 0:00:00,3,
6617,0,05May2019 0:00:00,37,
6617,0,07May2019 0:00:00,5,
6617,0,29May2019 0:00:00,2,
6617,0,22Jun2019 0:00:00,49,
6617,0,01Aug2019 0:00:00,2,
6617,0,02Aug2019 0:00:00,2,
6617,0,03Aug2019 0:00:00,46,
6617,0,07Sep2019 0:00:00,42,
6617,0,26Oct2019 0:00:00,44,
6617,0,31Oct2019 0:00:00,1,
6617,0,15Nov2019 0:00:00,3,
6617,0,17Nov2019 0:00:00,45,
6617,0,18Nov2019 0:00:00,1,
6617,0,19Dec2019 0:00:00,4,
6617,0,21Jan2020 0:00:00,4,
6617,0,22Jan2020 0:00:00,4,
6617,0,29Jan2020 0:00:00,1,
6617,0,10Feb2020 0:00:00,2,
6617,0,12Feb2020 0:00:00,1,
6617,0,14Feb2020 0:00:00,1,
6617,0,17Feb2020 0:00:00,42,
6617,0,11Mar2020 0:00:00,1,
6617,0,18Mar2020 0:00:00,4,
6617,0,19Mar2020 0:00:00,1,
6617,0,20Mar2020 0:00:00,5,
2763,0,01Apr2019 0:00:00,12,
2763,0,03Apr2019 0:00:00,11,
2763,0,05Apr2019 0:00:00,18,
2763,0,08Apr2019 0:00:00,15,
2763,0,10Apr2019 0:00:00,15,
2763,0,11Apr2019 0:00:00,15,
2763,0,12Apr2019 0:00:00,11,
2763,0,15Apr2019 0:00:00,14,
2763,0,17Apr2019 0:00:00,13,
2763,0,18Apr2019 0:00:00,13,
2763,0,24Apr2019 0:00:00,17,
2763,0,26Apr2019 0:00:00,13,
2763,0,29Apr2019 0:00:00,13,
2763,0,01May2019 0:00:00,15,
2763,0,02May2019 0:00:00,1,
2763,0,03May2019 0:00:00,9,
2763,0,06May2019 0:00:00,14,
2763,0,07May2019 0:00:00,14,
2763,0,08May2019 0:00:00,10,
2763,0,10May2019 0:00:00,14,
2763,0,13May2019 0:00:00,15,
2763,0,15May2019 0:00:00,13,
2763,0,16May2019 0:00:00,18,
2763,0,22May2019 0:00:00,15,
2763,0,24May2019 0:00:00,14,
2763,0,27May2019 0:00:00,9,
2763,0,29May2019 0:00:00,12,
2763,0,31May2019 0:00:00,13,
2763,0,03Jun2019 0:00:00,14,
2763,0,04Jun2019 0:00:00,7,
2763,0,05Jun2019 0:00:00,13,
2763,0,07Jun2019 0:00:00,15,
2763,0,10Jun2019 0:00:00,13,
2763,0,11Jun2019 0:00:00,14,
2763,0,12Jun2019 0:00:00,16,
2763,0,13Jun2019 0:00:00,13,
2763,0,14Jun2019 0:00:00,16,
2763,0,17Jun2019 0:00:00,13,
2763,0,18Jun2019 0:00:00,14,
2763,0,19Jun2019 0:00:00,12,
2763,0,20Jun2019 0:00:00,14,
2763,0,28Jun2019 0:00:00,14,
2763,0,02Jul2019 0:00:00,11,
2763,0,03Jul2019 0:00:00,16,
2763,0,05Jul2019 0:00:00,14,
2763,0,15Jul2019 0:00:00,19,
2763,0,17Jul2019 0:00:00,11,
2763,0,18Jul2019 0:00:00,13,
2763,0,22Jul2019 0:00:00,13,
2763,0,23Jul2019 0:00:00,12,
2763,0,26Jul2019 0:00:00,14,
2763,0,29Jul2019 0:00:00,12,
2763,0,02Aug2019 0:00:00,15,
2763,0,06Aug2019 0:00:00,12,
2763,0,07Aug2019 0:00:00,11,
2763,0,08Aug2019 0:00:00,11,
2763,0,09Aug2019 0:00:00,8,
2763,0,12Aug2019 0:00:00,9,
2763,0,13Aug2019 0:00:00,13,
2763,0,14Aug2019 0:00:00,12,
2763,0,15Aug2019 0:00:00,16,
2763,0,22Aug2019 0:00:00,1,
2763,0,03Sep2019 0:00:00,10,
2763,0,04Sep2019 0:00:00,18,
2763,0,06Sep2019 0:00:00,18,
2763,0,09Sep2019 0:00:00,17,
2763,0,10Sep2019 0:00:00,10,
2763,0,11Sep2019 0:00:00,15,
2763,0,12Sep2019 0:00:00,17,
2763,0,13Sep2019 0:00:00,17,
2763,0,16Sep2019 0:00:00,14,
2763,0,17Sep2019 0:00:00,10,
2763,0,18Sep2019 0:00:00,12,
2763,0,23Sep2019 0:00:00,13,
2763,0,24Sep2019 0:00:00,9,
2763,0,25Sep2019 0:00:00,13,
2763,0,01Oct2019 0:00:00,12,
2763,0,02Oct2019 0:00:00,9,
2763,0,04Oct2019 0:00:00,19,
2763,0,07Oct2019 0:00:00,12,
2763,0,09Oct2019 0:00:00,13,
2763,0,10Oct2019 0:00:00,11,
2763,0,15Oct2019 0:00:00,9,
2763,0,16Oct2019 0:00:00,12,
2763,0,21Oct2019 0:00:00,13,
2763,0,23Oct2019 0:00:00,14,
2763,0,25Oct2019 0:00:00,9,
2763,0,28Oct2019 0:00:00,16,
2763,0,29Oct2019 0:00:00,12,
2763,0,30Oct2019 0:00:00,11,
2763,0,01Nov2019 0:00:00,16,
